##
## M_g (bin center)   N_q, log_phi, log_phi_err				
##
##
## 0.68 < z < 1.06
##
0.87 -28.80     0     -     -         
0.87 -28.40     0     -     -         
0.87 -28.00     0     -     -         
0.87 -27.60     0     -     -         
0.87 -27.20     0     -     -         
0.87 -26.80     0     -     -         
0.87 -26.40     2     -6.88     0.31  
0.87 -26.00     2     -6.84     0.31  
0.87 -25.60     1     -7.10     0.44  
0.87 -25.20     4     -6.45     0.22  
0.87 -24.80     11     -5.89     0.13 
0.87 -24.40     13     -5.84     0.12 
0.87 -24.00     17     -5.67     0.11 
0.87 -23.60     18     -5.58     0.11 
0.87 -23.20     22     -5.48     0.10 
0.87 -22.80     17     -5.52     0.11 
0.87 -22.40     18     -5.41     0.16 
0.87 -22.00     14     -5.39     0.18 
0.87 -21.60     4     -5.89     0.25  
0.87 -21.20     0     -     -         
#
##
## 1.06 < z < 1.44
##
1.25 -28.80     0     -     -         
1.25 -28.40     0     -     -         
1.25 -28.00     0     -     -         
1.25 -27.60     0     -     -         
1.25 -27.20     0     -     -         
1.25 -26.80     0     -     -         
1.25 -26.40     5     -6.60     0.19  
1.25 -26.00     7     -6.44     0.16  
1.25 -25.60     19     -5.99     0.10 
1.25 -25.20     24     -5.87     0.09 
1.25 -24.80     27     -5.79     0.08 
1.25 -24.40     42     -5.57     0.07 
1.25 -24.00     33     -5.64     0.08 
1.25 -23.60     35     -5.56     0.08 
1.25 -23.20     49     -5.30     0.07 
1.25 -22.80     33     -5.29     0.12 
1.25 -22.40     8     -5.22     0.25  
1.25 -22.00     0     -     -         
1.25 -21.60     0     -     -         
1.25 -21.20     0     -     -         
#
##
## 1.44 < z < 1.82
##
1.63 -28.80     0     -     -         
1.63 -28.40     0     -     -         
1.63 -28.00     0     -     -         
1.63 -27.60     3     -6.88     0.25  
1.63 -27.20     3     -6.88     0.25  
1.63 -26.80     1     -7.34     0.43  
1.63 -26.40     6     -6.56     0.18  
1.63 -26.00     19     -6.05     0.10 
1.63 -25.60     26     -5.91     0.09 
1.63 -25.20     30     -5.82     0.08 
1.63 -24.80     43     -5.64     0.07 
1.63 -24.40     49     -5.54     0.06 
1.63 -24.00     49     -5.50     0.06 
1.63 -23.60     39     -5.58     0.07 
1.63 -23.20     30     -5.38     0.10 
1.63 -22.80     1     -5.69     0.45  
1.63 -22.40     0     -     -         
1.63 -22.00     0     -     -         
1.63 -21.60     0     -     -         
1.63 -21.20     0     -     -         
#
##
##   1.82 < z z< 2.20
##
2.00 -28.80 	    0   -	-  				 		
2.00 -28.40	    1	-7.40	0.43
2.00 -28.00	    3 	-6.89	0.25
2.00 -27.60	    1	-7.37	0.43
2.00 -27.20	    5 	-6.68	0.19
2.00 -26.80	    11 	-6.33	0.13
2.00 -26.40	    24 	-5.98	0.09
2.00 -26.00	    31	-5.86	0.08
2.00 -25.60	    29	-5.88	0.08
2.00 -25.20	    36 	-5.76	0.07
2.00 -24.80	    36 	-5.72	0.07
2.00 -24.40	    36 	-5.67	0.07
2.00 -24.00	    51  -5.47	0.06
2.00 -23.60	    16	-5.72	0.13	
2.00 -23.20	    2	-5.36	0.32
#-22.80	     
#-22.40
#-22.00
#-21.60
#-21.20
#
##
##   2.20 < z < 2.60
##
2.40 -28.80 	    0   -	-				 
2.40 -28.40	    3	-6.94	0.25
2.40 -28.00	    2 	-7.14	0.31
2.40 -27.60	    2 	-7.14	0.31
2.40 -27.20	    4 	-6.83	0.22
2.40 -26.80	    8 	-6.52	0.15
2.40 -26.40	    17 	-6.18	0.11
2.40 -26.00	    17	-6.17	0.11
2.40 -25.60	    24	-5.99	0.09
2.40 -25.20	    28 	-5.90	0.08
2.40 -24.80	    30 	-5.83	0.08
2.40 -24.40	    33 	-5.74	0.08
2.40 -24.00	    18  -5.66	0.13
2.40 -23.60	    7 	-5.32	0.18
#-23.20	    0 
#-22.80	    0 
#-22.40

#
##
##   2.60 < z < 3.00
##
-28.80     1     -7.39     0.44   
-28.40     0     -     -          
-28.00     3     -6.96     0.25   
-27.60     7     -6.58     0.16   
-27.20     3     -6.94     0.25   
-26.80     6     -6.64     0.18   
-26.40     16     -6.20     0.11  
-26.00     11     -6.34     0.13  
-25.60     14     -6.19     0.12  
-25.20     21     -5.96     0.10  
-24.80     19     -5.98     0.10  
-24.40     3     -6.39     0.31   
#-24.00     0     -     -         
#-23.60     0     -     -         
#-23.20     0     -     -         
#-22.80     0     -     -         
#-22.40     0     -     -         
#-22.00     0     -     -         
#-21.60     0     -     -         
#-21.20     0     -     -                 
#
##
##   3.00 < z < 3.50
##
-28.80     0     -     -         
-28.40     1     -7.51     0.44  
-28.00     0     -     -         
-27.60     3     -7.04     0.25  
-27.20     4     -6.91     0.22  
-26.80     4     -6.89     0.22  
-26.40     6     -6.71     0.18  
-26.00     10     -6.43     0.14 
-25.60     11     -6.34     0.13 
-25.20     9     -6.11     0.17  
-24.80     4     -6.44     0.22  
-24.40     2     -5.05     0.42  
#
##
##   3.50 < z < 4.00
##
3.75 -28.80     0     -     - \\
3.75 -28.40     2     -7.22     0.31 \\
3.75 -28.00     0     -     - \\
3.75 -27.60     1     -7.46     0.44 \\
3.75 -27.20     1     -7.45     0.44 \\
3.75 -26.80     2     -7.14     0.31 \\
3.75 -26.40     2     -7.05     0.31 \\
3.75 -26.00     2     -6.45     0.36 \\
3.75 -25.60     0     -     - \\
3.75 -25.20     0     -     - \\
3.75 -24.80     0     -     - \\
3.75 -24.40     0     -     - \\
