  2.268 &   -29.762 &   -29.850 &       1 & ******** &     -NaN \\
  2.399 &   -29.031 &   -28.950 &       1 & ******** &     -NaN \\
  2.266 &   -28.668 &   -28.650 &       2 & ******** &     -NaN \\
  2.386 &   -28.343 &   -28.350 &       5 &   -7.709 &    7.849 \\
  2.340 &   -28.077 &   -28.050 &      12 &   -7.176 &   14.495 \\
  2.394 &   -27.736 &   -27.750 &      25 &   -6.949 &   18.827 \\
  2.416 &   -27.425 &   -27.450 &      34 &   -6.838 &   21.406 \\
  2.395 &   -27.131 &   -27.150 &      72 &   -6.542 &   30.086 \\
  2.390 &   -26.826 &   -26.850 &      94 &   -6.408 &   35.106 \\
  2.403 &   -26.545 &   -26.550 &     149 &   -6.192 &   45.005 \\
  2.398 &   -26.243 &   -26.250 &     206 &   -6.027 &   54.409 \\
  2.390 &   -25.942 &   -25.950 &     242 &   -5.909 &   62.371 \\
  2.403 &   -25.645 &   -25.650 &     262 &   -5.805 &   70.296 \\
  2.383 &   -25.346 &   -25.350 &     399 &   -5.513 &   98.322 \\
  2.383 &   -25.051 &   -25.050 &     444 &   -5.406 &  111.273 \\
  2.386 &   -24.746 &   -24.750 &     394 &   -5.358 &  117.613 \\
  2.378 &   -24.460 &   -24.450 &     346 &   -5.219 &  137.946 \\
  2.347 &   -24.176 &   -24.150 &     187 &   -5.612 &   87.718 \\
  2.343 &   -23.884 &   -23.850 &      40 & ******** &     -NaN \\
  2.393 &   -23.537 &   -23.550 &       7 & ******** &     -NaN \\
  2.380 &   -23.287 &   -23.250 &       2 & ******** &     -NaN \\
  2.458 &   -22.999 &   -22.950 &       1 & ******** &     -NaN \\
  2.307 &   -22.584 &   -22.650 &       2 & ******** &     -NaN \\
  2.850 &   -29.525 &   -29.550 &       1 & ******** &     -NaN \\
  2.856 &   -28.874 &   -28.950 &       3 &   -8.197 &    4.491 \\
  2.731 &   -28.699 &   -28.650 &       4 &   -7.364 &   11.722 \\
  2.736 &   -28.361 &   -28.350 &       7 &   -7.274 &   13.001 \\
  2.821 &   -28.005 &   -28.050 &      14 &   -6.977 &   18.296 \\
  2.810 &   -27.725 &   -27.750 &      16 &   -6.817 &   22.012 \\
  2.810 &   -27.445 &   -27.450 &      42 &   -6.439 &   34.009 \\
  2.796 &   -27.129 &   -27.150 &      60 &   -6.280 &   40.822 \\
  2.757 &   -26.834 &   -26.850 &      94 &   -6.052 &   53.062 \\
  2.788 &   -26.538 &   -26.550 &     105 &   -5.902 &   63.111 \\
  2.782 &   -26.247 &   -26.250 &     126 &   -5.765 &   73.823 \\
  2.790 &   -25.936 &   -25.950 &     166 &   -5.688 &   80.700 \\
  2.769 &   -25.647 &   -25.650 &     224 &   -5.563 &   93.229 \\
  2.783 &   -25.359 &   -25.350 &     216 &   -5.517 &   98.278 \\
  2.776 &   -25.052 &   -25.050 &     194 &   -5.485 &  101.983 \\
  2.762 &   -24.760 &   -24.750 &     196 &   -5.345 &  119.736 \\
  2.732 &   -24.481 &   -24.450 &     105 &   -5.801 &   70.843 \\
  2.708 &   -24.207 &   -24.150 &      24 & ******** &     -NaN \\
  2.636 &   -23.881 &   -23.850 &       4 & ******** &     -NaN \\
  2.924 &   -22.968 &   -22.950 &       1 & ******** &     -NaN \\
  2.615 &   -22.610 &   -22.650 &       1 & ******** &     -NaN \\
  2.618 &   -22.255 &   -22.350 &       1 & ******** &     -NaN \\
  3.199 &   -29.271 &   -29.250 &       2 &   -8.583 &    2.610 \\
  3.499 &   -29.094 &   -28.950 &       1 &   -8.583 &    2.610 \\
  3.425 &   -28.631 &   -28.650 &       4 &   -7.245 &   12.193 \\
  3.231 &   -28.323 &   -28.350 &       9 &   -7.336 &   10.977 \\
  3.170 &   -28.032 &   -28.050 &      13 &   -7.178 &   13.165 \\
  3.207 &   -27.788 &   -27.750 &      15 &   -7.016 &   15.868 \\
  3.224 &   -27.469 &   -27.450 &      34 &   -6.760 &   21.310 \\
  3.214 &   -27.149 &   -27.150 &      47 &   -6.429 &   31.189 \\
  3.213 &   -26.849 &   -26.850 &      75 &   -6.258 &   37.942 \\
  3.228 &   -26.552 &   -26.550 &      95 &   -6.120 &   44.524 \\
  3.196 &   -26.233 &   -26.250 &     108 &   -6.128 &   44.085 \\
  3.177 &   -25.938 &   -25.950 &     115 &   -5.800 &   64.346 \\
  3.210 &   -25.658 &   -25.650 &     144 &   -5.566 &   84.181 \\
  3.186 &   -25.346 &   -25.350 &     129 &   -5.382 &  104.115 \\
  3.145 &   -25.062 &   -25.050 &     102 &   -5.304 &  113.820 \\
  3.131 &   -24.787 &   -24.750 &      37 &   -5.736 &   69.271 \\
  3.088 &   -24.456 &   -24.450 &      10 & ******** &     -NaN \\
  3.099 &   -24.169 &   -24.150 &       2 & ******** &     -NaN \\
  3.125 &   -23.942 &   -23.850 &       2 & ******** &     -NaN \\
  3.098 &   -23.590 &   -23.550 &       1 & ******** &     -NaN \\
  3.836 &   -29.055 &   -28.950 &       1 & ******** &     -NaN \\
  3.564 &   -28.713 &   -28.650 &       1 &   -6.744 &   22.175 \\
