  3.650 &   -28.319 &   -28.350 &       5 &   -6.864 &   19.299 \\
  3.686 &   -28.049 &   -28.050 &       7 &   -6.306 &   36.701 \\
  3.740 &   -27.724 &   -27.750 &      12 &   -7.032 &   15.919 \\
  3.744 &   -27.439 &   -27.450 &      16 &   -6.177 &   42.594 \\
  3.746 &   -27.113 &   -27.150 &      31 &   -6.227 &   40.215 \\
  3.752 &   -26.863 &   -26.850 &      20 &   -5.977 &   53.629 \\
  3.659 &   -26.563 &   -26.550 &      38 &   -5.648 &   78.279 \\
  3.706 &   -26.234 &   -26.250 &      33 & Infinity &     -NaN \\
  3.716 &   -25.948 &   -25.950 &      32 & Infinity &     -NaN \\
  3.684 &   -25.647 &   -25.650 &      37 & Infinity &     -NaN \\
  3.715 &   -25.393 &   -25.350 &      18 & Infinity &     -NaN \\
  3.665 &   -25.162 &   -25.050 &       3 & ******** &     -NaN \\
  3.706 &   -24.820 &   -24.750 &       1 & ******** &     -NaN \\
  4.000 &   -26.971 &   -26.850 &       1 & ******** &     -NaN \\
