  2.262 &   -28.236 &   -28.350 &       5 &   -7.433 &    6.771 \\
  2.259 &   -28.045 &   -28.050 &      26 &   -6.940 &   11.948 \\
  2.254 &   -27.729 &   -27.750 &      42 &   -6.545 &   18.821 \\
  2.262 &   -27.436 &   -27.450 &      77 &   -6.501 &   19.806 \\
  2.257 &   -27.129 &   -27.150 &     151 &   -6.181 &   28.626 \\
  2.256 &   -26.847 &   -26.850 &     217 &   -5.988 &   35.751 \\
  2.256 &   -26.537 &   -26.550 &     276 &   -5.957 &   37.053 \\
  2.253 &   -26.242 &   -26.250 &     387 &   -5.783 &   45.249 \\
  2.255 &   -25.946 &   -25.950 &     497 &   -5.646 &   53.025 \\
  2.252 &   -25.640 &   -25.650 &     507 &   -5.441 &   67.107 \\
  2.257 &   -25.355 &   -25.350 &     546 &   -5.386 &   71.526 \\
  2.252 &   -25.053 &   -25.050 &     509 &   -5.148 &   94.056 \\
  2.253 &   -24.754 &   -24.750 &     421 &   -5.154 &   93.347 \\
  2.252 &   -24.461 &   -24.450 &     281 &   -5.090 &  100.535 \\
  2.252 &   -24.209 &   -24.150 &     138 &   -5.240 &   84.543 \\
  2.246 &   -23.908 &   -23.850 &      22 & ******** &     -NaN \\
  2.352 &   -28.291 &   -28.350 &      11 &   -7.647 &    5.285 \\
  2.348 &   -28.044 &   -28.050 &      38 &   -7.251 &    8.341 \\
  2.348 &   -27.743 &   -27.750 &      71 &   -6.978 &   11.426 \\
  2.354 &   -27.432 &   -27.450 &      96 &   -6.840 &   13.383 \\
  2.353 &   -27.135 &   -27.150 &     144 &   -6.669 &   16.291 \\
  2.352 &   -26.840 &   -26.850 &     272 &   -6.364 &   23.162 \\
  2.349 &   -26.541 &   -26.550 &     301 &   -6.294 &   25.101 \\
  2.349 &   -26.247 &   -26.250 &     441 &   -6.086 &   31.884 \\
  2.347 &   -25.949 &   -25.950 &     474 &   -5.989 &   35.665 \\
  2.348 &   -25.653 &   -25.650 &     518 &   -5.794 &   44.614 \\
  2.348 &   -25.353 &   -25.350 &     576 &   -5.613 &   54.974 \\
  2.349 &   -25.053 &   -25.050 &     519 &   -5.559 &   58.510 \\
  2.349 &   -24.751 &   -24.750 &     437 &   -5.389 &   71.159 \\
  2.346 &   -24.466 &   -24.450 &     328 &   -5.263 &   82.234 \\
  2.340 &   -24.185 &   -24.150 &      85 &   -6.500 &   19.790 \\
  2.341 &   -23.964 &   -23.850 &       6 & ******** &     -NaN \\
  2.475 &   -28.504 &   -28.650 &       1 &   -8.547 &    1.876 \\
  2.446 &   -28.351 &   -28.350 &      14 &   -7.612 &    5.504 \\
  2.443 &   -28.050 &   -28.050 &      40 &   -7.254 &    8.309 \\
  2.449 &   -27.748 &   -27.750 &      70 &   -7.008 &   11.026 \\
  2.447 &   -27.425 &   -27.450 &     125 &   -6.758 &   14.707 \\
  2.449 &   -27.136 &   -27.150 &     160 &   -6.636 &   16.919 \\
  2.450 &   -26.839 &   -26.850 &     234 &   -6.462 &   20.683 \\
  2.445 &   -26.541 &   -26.550 &     313 &   -6.307 &   24.726 \\
  2.447 &   -26.255 &   -26.250 &     361 &   -6.177 &   28.698 \\
  2.447 &   -25.942 &   -25.950 &     392 &   -6.055 &   33.021 \\
  2.445 &   -25.654 &   -25.650 &     426 &   -5.904 &   39.309 \\
  2.445 &   -25.346 &   -25.350 &     396 &   -5.760 &   46.390 \\
  2.443 &   -25.056 &   -25.050 &     402 &   -5.606 &   55.371 \\
  2.446 &   -24.768 &   -24.750 &     271 &   -5.679 &   50.956 \\
  2.441 &   -24.466 &   -24.450 &     173 &   -5.729 &   48.069 \\
  2.436 &   -24.199 &   -24.150 &      25 & ******** &     -NaN \\
  2.543 &   -28.541 &   -28.650 &       3 &   -8.079 &    3.216 \\
  2.546 &   -28.359 &   -28.350 &      19 &   -7.570 &    5.778 \\
  2.545 &   -28.008 &   -28.050 &      31 &   -7.371 &    7.264 \\
  2.548 &   -27.728 &   -27.750 &      50 &   -7.156 &    9.303 \\
  2.547 &   -27.434 &   -27.450 &      98 &   -6.866 &   12.995 \\
  2.548 &   -27.144 &   -27.150 &     149 &   -6.686 &   15.987 \\
  2.548 &   -26.856 &   -26.850 &     204 &   -6.519 &   19.369 \\
  2.547 &   -26.537 &   -26.550 &     247 &   -6.406 &   22.050 \\
  2.553 &   -26.253 &   -26.250 &     296 &   -6.254 &   26.289 \\
  2.547 &   -25.947 &   -25.950 &     342 &   -6.091 &   31.721 \\
  2.549 &   -25.649 &   -25.650 &     343 &   -5.951 &   37.236 \\
  2.546 &   -25.357 &   -25.350 &     320 &   -5.821 &   43.248 \\
  2.544 &   -25.054 &   -25.050 &     273 &   -5.781 &   45.316 \\
  2.548 &   -24.757 &   -24.750 &     175 &   -5.663 &   51.927 \\
  2.551 &   -24.503 &   -24.450 &      83 &   -5.933 &   38.026 \\
  2.535 &   -24.256 &   -24.150 &       7 & ******** &     -NaN \\
  2.647 &   -28.592 &   -28.650 &      10 &   -7.618 &    5.473 \\
  2.656 &   -28.354 &   -28.350 &      21 &   -7.442 &    6.697 \\
  2.641 &   -28.037 &   -28.050 &      33 &   -7.285 &    8.032 \\
  2.652 &   -27.730 &   -27.750 &      35 &   -7.230 &    8.556 \\
  2.643 &   -27.442 &   -27.450 &      91 &   -6.833 &   13.506 \\
  2.648 &   -27.143 &   -27.150 &     120 &   -6.706 &   15.627 \\
  2.647 &   -26.844 &   -26.850 &     161 &   -6.511 &   19.574 \\
  2.641 &   -26.545 &   -26.550 &     170 &   -6.448 &   21.034 \\
  2.644 &   -26.253 &   -26.250 &     199 &   -6.311 &   24.646 \\
  2.646 &   -25.955 &   -25.950 &     233 &   -6.175 &   28.831 \\
  2.647 &   -25.648 &   -25.650 &     246 &   -5.989 &   35.694 \\
  2.644 &   -25.347 &   -25.350 &     214 &   -5.939 &   37.802 \\
  2.649 &   -25.059 &   -25.050 &     176 &   -5.821 &   43.296 \\
  2.644 &   -24.750 &   -24.750 &     126 &   -5.729 &   48.146 \\
  2.638 &   -24.506 &   -24.450 &      46 &   -6.512 &   19.551 \\
  2.642 &   -24.218 &   -24.150 &       2 & ******** &     -NaN \\
  2.744 &   -28.587 &   -28.650 &       5 &   -7.722 &    4.864 \\
  2.740 &   -28.343 &   -28.350 &      11 &   -7.509 &    6.212 \\
  2.748 &   -28.011 &   -28.050 &      20 &   -7.330 &    7.633 \\
  2.759 &   -27.715 &   -27.750 &      36 &   -6.976 &   11.482 \\
  2.739 &   -27.437 &   -27.450 &      50 &   -6.877 &   12.865 \\
  2.755 &   -27.141 &   -27.150 &      61 &   -6.778 &   14.409 \\
  2.743 &   -26.847 &   -26.850 &      82 &   -6.587 &   17.962 \\
  2.742 &   -26.556 &   -26.550 &     110 &   -6.411 &   21.982 \\
  2.747 &   -26.247 &   -26.250 &      86 &   -6.408 &   22.080 \\
  2.746 &   -25.940 &   -25.950 &     122 &   -6.208 &   27.786 \\
  2.746 &   -25.652 &   -25.650 &     159 &   -6.053 &   33.231 \\
  2.745 &   -25.351 &   -25.350 &     154 &   -5.915 &   38.931 \\
  2.747 &   -25.074 &   -25.050 &     136 &   -5.832 &   42.844 \\
  2.739 &   -24.771 &   -24.750 &      84 &   -5.778 &   45.587 \\
  2.748 &   -24.487 &   -24.450 &      17 & ******** &     -NaN \\
  2.734 &   -24.258 &   -24.150 &       2 & ******** &     -NaN \\
  2.965 &   -28.806 &   -28.950 &       1 &   -8.465 &    1.466 \\
  2.895 &   -28.597 &   -28.650 &       5 &   -7.868 &    2.915 \\
  2.904 &   -28.331 &   -28.350 &      24 &   -7.413 &    4.923 \\
  2.904 &   -28.030 &   -28.050 &      38 &   -7.289 &    5.678 \\
  2.899 &   -27.730 &   -27.750 &      82 &   -6.905 &    8.837 \\
  2.904 &   -27.452 &   -27.450 &     119 &   -6.737 &   10.717 \\
  2.906 &   -27.143 &   -27.150 &     142 &   -6.650 &   11.853 \\
  2.907 &   -26.845 &   -26.850 &     178 &   -6.479 &   14.433 \\
  2.897 &   -26.558 &   -26.550 &     211 &   -6.272 &   18.308 \\
  2.907 &   -26.250 &   -26.250 &     237 &   -6.172 &   20.556 \\
  2.906 &   -25.945 &   -25.950 &     252 &   -6.137 &   21.400 \\
  2.899 &   -25.642 &   -25.650 &     292 &   -5.964 &   26.114 \\
  2.893 &   -25.350 &   -25.350 &     250 &   -5.921 &   27.443 \\
  2.900 &   -25.063 &   -25.050 &     229 &   -5.656 &   37.202 \\
  2.893 &   -24.768 &   -24.750 &      96 &   -5.958 &   26.294 \\
  2.860 &   -24.502 &   -24.450 &      17 & ******** &     -NaN \\
  3.142 &   -28.904 &   -28.950 &       3 &   -8.394 &    1.433 \\
  3.152 &   -28.636 &   -28.650 &      13 &   -8.019 &    2.207 \\
  3.130 &   -28.338 &   -28.350 &      39 &   -7.569 &    3.704 \\
  3.129 &   -28.031 &   -28.050 &      63 &   -7.337 &    4.837 \\
  3.123 &   -27.739 &   -27.750 &      96 &   -7.152 &    5.987 \\
  3.114 &   -27.448 &   -27.450 &     145 &   -6.952 &    7.543 \\
  3.116 &   -27.141 &   -27.150 &     203 &   -6.774 &    9.254 \\
  3.120 &   -26.847 &   -26.850 &     268 &   -6.604 &   11.258 \\
  3.125 &   -26.541 &   -26.550 &     357 &   -6.431 &   13.728 \\
  3.118 &   -26.253 &   -26.250 &     375 &   -6.355 &   14.983 \\
  3.120 &   -25.955 &   -25.950 &     328 &   -6.319 &   15.626 \\
  3.118 &   -25.653 &   -25.650 &     301 &   -6.087 &   20.409 \\
  3.118 &   -25.358 &   -25.350 &     231 &   -6.003 &   22.471 \\
  3.108 &   -25.065 &   -25.050 &     150 &   -5.721 &   31.099 \\
  3.102 &   -24.789 &   -24.750 &      37 &   -6.492 &   12.801 \\
  3.087 &   -24.545 &   -24.450 &       7 & ******** &     -NaN \\
  3.334 &   -28.895 &   -28.950 &       7 &   -8.199 &    1.810 \\
  3.347 &   -28.676 &   -28.650 &      17 &   -7.812 &    2.827 \\
  3.364 &   -28.355 &   -28.350 &      24 &   -7.634 &    3.468 \\
  3.354 &   -28.020 &   -28.050 &      37 &   -7.475 &    4.168 \\
  3.354 &   -27.728 &   -27.750 &      69 &   -7.200 &    5.717 \\
  3.348 &   -27.441 &   -27.450 &      82 &   -7.066 &    6.676 \\
  3.345 &   -27.152 &   -27.150 &     115 &   -6.911 &    7.980 \\
  3.332 &   -26.842 &   -26.850 &     133 &   -6.841 &    8.645 \\
  3.334 &   -26.540 &   -26.550 &     137 &   -6.769 &    9.389 \\
  3.328 &   -26.251 &   -26.250 &     138 &   -6.676 &   10.457 \\
  3.314 &   -25.953 &   -25.950 &     124 &   -6.588 &   11.566 \\
  3.322 &   -25.661 &   -25.650 &      79 &   -6.385 &   14.617 \\
  3.315 &   -25.354 &   -25.350 &      46 &   -6.195 &   18.190 \\
  3.290 &   -25.076 &   -25.050 &      23 &   -6.134 &   19.512 \\
  3.289 &   -24.851 &   -24.750 &       1 & ******** &     -NaN \\
