  3.762 &   -27.416 &   -27.450 &      18 &   -7.309 &   11.561 \\
  3.730 &   -27.153 &   -27.150 &      31 &   -7.073 &   15.172 \\
  3.702 &   -26.827 &   -26.850 &      26 &   -7.150 &   13.895 \\
  3.674 &   -26.579 &   -26.550 &      33 &   -7.046 &   15.654 \\
  3.704 &   -26.250 &   -26.250 &      37 &   -6.996 &   16.575 \\
  3.691 &   -25.933 &   -25.950 &      32 &   -7.059 &   15.415 \\
  3.713 &   -25.661 &   -25.650 &      34 &   -7.033 &   15.889 \\
  3.693 &   -25.385 &   -25.350 &      11 &   -7.523 &    9.038 \\
  3.706 &   -24.925 &   -25.050 &       1 &   -8.565 &    2.725 \\
  4.000 &   -27.075 &   -27.150 &       1 &   -8.543 &    2.866 \\
