# logLbol  Mi(z=2)  log(dPhi/dlogL)  log(dPhi/dMi) 
# density in units of Mpc^-3
# use cosmology 0.26,0.74,0.7,0.0435,0.78,0.95
42.000 -13.397  -3.323  -4.634
42.100 -13.714  -3.301  -4.604
42.200 -14.029  -3.286  -4.580
42.300 -14.342  -3.275  -4.561
42.400 -14.654  -3.269  -4.547
42.500 -14.964  -3.268  -4.538
42.600 -15.273  -3.270  -4.532
42.700 -15.579  -3.277  -4.530
42.800 -15.884  -3.286  -4.531
42.900 -16.187  -3.298  -4.535
43.000 -16.489  -3.313  -4.542
43.100 -16.788  -3.330  -4.551
43.200 -17.086  -3.350  -4.562
43.300 -17.381  -3.371  -4.575
43.400 -17.675  -3.394  -4.590
43.500 -17.967  -3.418  -4.606
43.600 -18.258  -3.444  -4.623
43.700 -18.546  -3.471  -4.642
43.800 -18.833  -3.499  -4.663
43.900 -19.118  -3.529  -4.684
44.000 -19.401  -3.560  -4.707
44.100 -19.683  -3.593  -4.732
44.200 -19.963  -3.627  -4.758
44.300 -20.242  -3.663  -4.785
44.400 -20.519  -3.701  -4.815
44.500 -20.794  -3.742  -4.847
44.600 -21.069  -3.784  -4.882
44.700 -21.342  -3.830  -4.919
44.800 -21.614  -3.878  -4.959
44.900 -21.884  -3.929  -5.002
45.000 -22.154  -3.983  -5.048
45.100 -22.422  -4.040  -5.097
45.200 -22.689  -4.101  -5.150
45.300 -22.956  -4.165  -5.205
45.400 -23.221  -4.232  -5.264
45.500 -23.486  -4.303  -5.327
45.600 -23.749  -4.378  -5.393
45.700 -24.013  -4.456  -5.463
45.800 -24.275  -4.537  -5.537
45.900 -24.537  -4.623  -5.614
46.000 -24.798  -4.713  -5.695
46.100 -25.058  -4.806  -5.781
46.200 -25.318  -4.904  -5.871
46.300 -25.577  -5.006  -5.965
46.400 -25.836  -5.113  -6.063
46.500 -26.095  -5.225  -6.167
46.600 -26.353  -5.342  -6.276
46.700 -26.611  -5.465  -6.390
46.800 -26.868  -5.593  -6.511
46.900 -27.125  -5.728  -6.637
47.000 -27.382  -5.870  -6.770
47.100 -27.638  -6.018  -6.911
47.200 -27.894  -6.175  -7.059
47.300 -28.150  -6.340  -7.216
47.400 -28.406  -6.513  -7.382
47.500 -28.661  -6.697  -7.557
47.600 -28.917  -6.890  -7.742
47.700 -29.172  -7.095  -7.939
47.800 -29.427  -7.312  -8.147
47.900 -29.682  -7.541  -8.368
48.000 -29.936  -7.784  -8.603
48.100 -30.191  -8.041  -8.851
48.200 -30.445  -8.313  -9.116
48.300 -30.699  -8.602  -9.396
48.400 -30.954  -8.907  -9.694
48.500 -31.208  -9.231 -10.009
48.600 -31.462  -9.575 -10.344
48.700 -31.716  -9.938 -10.700
48.800 -31.970 -10.323 -11.076
48.900 -32.223 -10.729 -11.475
49.000 -32.477 -11.159 -11.896
49.100 -32.731 -11.613 -12.342
49.200 -32.984 -12.091 -12.812
49.300 -33.238 -12.594 -13.307
49.400 -33.492 -13.124 -13.828
49.500 -33.745 -13.681 -14.377
49.600 -33.998 -14.267 -14.954
49.700 -34.252 -14.882 -15.561
49.800 -34.505 -15.527 -16.199
49.900 -34.759 -16.204 -16.868
50.000 -35.012 -16.913 -17.568
