# logLbol  Mi(z=2)  log(dPhi/dlogL)  log(dPhi/dMi) 
# density in units of Mpc^-3
# use cosmology 0.26,0.74,0.7,0.0435,0.78,0.95
42.000 -13.397  -3.564  -4.875
42.100 -13.714  -3.523  -4.826
42.200 -14.029  -3.490  -4.785
42.300 -14.342  -3.463  -4.749
42.400 -14.654  -3.442  -4.720
42.500 -14.964  -3.426  -4.696
42.600 -15.273  -3.416  -4.678
42.700 -15.579  -3.410  -4.663
42.800 -15.884  -3.408  -4.653
42.900 -16.187  -3.409  -4.647
43.000 -16.489  -3.414  -4.643
43.100 -16.788  -3.423  -4.643
43.200 -17.086  -3.433  -4.646
43.300 -17.381  -3.447  -4.651
43.400 -17.675  -3.462  -4.658
43.500 -17.967  -3.480  -4.668
43.600 -18.258  -3.499  -4.679
43.700 -18.546  -3.520  -4.692
43.800 -18.833  -3.543  -4.707
43.900 -19.118  -3.568  -4.723
44.000 -19.401  -3.594  -4.741
44.100 -19.683  -3.623  -4.761
44.200 -19.963  -3.653  -4.784
44.300 -20.242  -3.686  -4.808
44.400 -20.519  -3.721  -4.835
44.500 -20.794  -3.759  -4.865
44.600 -21.069  -3.799  -4.897
44.700 -21.342  -3.843  -4.932
44.800 -21.614  -3.890  -4.971
44.900 -21.884  -3.940  -5.013
45.000 -22.154  -3.994  -5.059
45.100 -22.422  -4.051  -5.108
45.200 -22.689  -4.112  -5.160
45.300 -22.956  -4.176  -5.217
45.400 -23.221  -4.244  -5.277
45.500 -23.486  -4.316  -5.340
45.600 -23.749  -4.392  -5.408
45.700 -24.013  -4.472  -5.479
45.800 -24.275  -4.555  -5.555
45.900 -24.537  -4.643  -5.634
46.000 -24.798  -4.734  -5.717
46.100 -25.058  -4.830  -5.805
46.200 -25.318  -4.930  -5.896
46.300 -25.577  -5.034  -5.992
46.400 -25.836  -5.143  -6.093
46.500 -26.095  -5.257  -6.199
46.600 -26.353  -5.376  -6.310
46.700 -26.611  -5.500  -6.426
46.800 -26.868  -5.631  -6.548
46.900 -27.125  -5.767  -6.676
47.000 -27.382  -5.909  -6.810
47.100 -27.638  -6.059  -6.952
47.200 -27.894  -6.216  -7.100
47.300 -28.150  -6.381  -7.257
47.400 -28.406  -6.554  -7.422
47.500 -28.661  -6.736  -7.596
47.600 -28.917  -6.928  -7.780
47.700 -29.172  -7.130  -7.974
47.800 -29.427  -7.343  -8.179
47.900 -29.682  -7.569  -8.396
48.000 -29.936  -7.806  -8.625
48.100 -30.191  -8.057  -8.868
48.200 -30.445  -8.323  -9.125
48.300 -30.699  -8.603  -9.397
48.400 -30.954  -8.899  -9.686
48.500 -31.208  -9.213  -9.991
48.600 -31.462  -9.544 -10.314
48.700 -31.716  -9.895 -10.656
48.800 -31.970 -10.265 -11.018
48.900 -32.223 -10.656 -11.401
49.000 -32.477 -11.069 -11.806
49.100 -32.731 -11.505 -12.233
49.200 -32.984 -11.963 -12.684
49.300 -33.238 -12.446 -13.159
49.400 -33.492 -12.954 -13.659
49.500 -33.745 -13.488 -14.184
49.600 -33.998 -14.049 -14.737
49.700 -34.252 -14.638 -15.317
49.800 -34.505 -15.255 -15.927
49.900 -34.759 -15.903 -16.566
50.000 -35.012 -16.582 -17.237
