M1450_start M1450_end  z_start    z_end     sel.
 -28.300  -28.200    3.400    3.450   0.0000
 -28.300  -28.200    3.450    3.500   0.0000
 -28.300  -28.200    3.500    3.550   0.0050
 -28.300  -28.200    3.550    3.600   0.0000
 -28.300  -28.200    3.600    3.650   0.0050
 -28.300  -28.200    3.650    3.700   0.0000
 -28.300  -28.200    3.700    3.750   0.0000
 -28.300  -28.200    3.750    3.800   0.0000
 -28.300  -28.200    3.800    3.850   0.0050
 -28.300  -28.200    3.850    3.900   0.0000
 -28.300  -28.200    3.900    3.950   0.0000
 -28.300  -28.200    3.950    4.000   0.0000
 -28.300  -28.200    4.000    4.050   0.0050
 -28.300  -28.200    4.050    4.100   0.0000
 -28.300  -28.200    4.100    4.150   0.0000
 -28.300  -28.200    4.150    4.200   0.0100
 -28.300  -28.200    4.200    4.250   0.0300
 -28.300  -28.200    4.250    4.300   0.1950
 -28.300  -28.200    4.300    4.350   0.6150
 -28.300  -28.200    4.350    4.400   0.8150
 -28.300  -28.200    4.400    4.450   0.8750
 -28.300  -28.200    4.450    4.500   0.9100
 -28.300  -28.200    4.500    4.550   0.9750
 -28.300  -28.200    4.550    4.600   0.9600
 -28.200  -28.100    2.000    2.050   0.0000
 -28.200  -28.100    2.050    2.100   0.0000
 -28.200  -28.100    2.100    2.150   0.0000
 -28.200  -28.100    2.150    2.200   0.0000
 -28.200  -28.100    2.200    2.250   0.0000
 -28.200  -28.100    2.250    2.300   0.0000
 -28.200  -28.100    2.300    2.350   0.0000
 -28.200  -28.100    2.350    2.400   0.0000
 -28.200  -28.100    2.400    2.450   0.0000
 -28.200  -28.100    2.450    2.500   0.0000
 -28.200  -28.100    2.500    2.550   0.0000
 -28.200  -28.100    2.550    2.600   0.0000
 -28.200  -28.100    2.600    2.650   0.0000
 -28.200  -28.100    2.650    2.700   0.0000
 -28.200  -28.100    2.700    2.750   0.0000
 -28.200  -28.100    2.750    2.800   0.0000
 -28.200  -28.100    2.800    2.850   0.0000
 -28.200  -28.100    2.850    2.900   0.0000
 -28.200  -28.100    2.900    2.950   0.0000
 -28.200  -28.100    2.950    3.000   0.0000
 -28.200  -28.100    3.000    3.050   0.0000
 -28.200  -28.100    3.050    3.100   0.0000
 -28.200  -28.100    3.100    3.150   0.0000
 -28.200  -28.100    3.150    3.200   0.0000
 -28.200  -28.100    3.200    3.250   0.0000
 -28.200  -28.100    3.250    3.300   0.0000
 -28.200  -28.100    3.300    3.350   0.0000
 -28.200  -28.100    3.350    3.400   0.0000
 -28.200  -28.100    3.400    3.450   0.0000
 -28.200  -28.100    3.450    3.500   0.0000
 -28.200  -28.100    3.500    3.550   0.0100
 -28.200  -28.100    3.550    3.600   0.0000
 -28.200  -28.100    3.600    3.650   0.0000
 -28.200  -28.100    3.650    3.700   0.0000
 -28.200  -28.100    3.700    3.750   0.0050
 -28.200  -28.100    3.750    3.800   0.0000
 -28.200  -28.100    3.800    3.850   0.0050
 -28.200  -28.100    3.850    3.900   0.0050
 -28.200  -28.100    3.900    3.950   0.0200
