# mag    n(m)    dn(m)    n_q
17.975   0.555   0.092    36
18.225   0.468   0.054    76
18.475   0.822   0.071   134
18.725   1.404   0.093   227
18.975   1.859   0.110   287
19.225   2.641   0.139   361
19.475   3.264   0.164   394
19.725   4.094   0.186   482
19.975   5.253   0.217   587
20.225   6.373   0.251   643
20.475   7.577   0.269   794
20.725   8.460   0.264  1028
20.975   8.869   0.280  1001
21.225   8.950   0.303   873
21.475   9.111   0.319   816
21.725   7.916   0.310   650
