# Richards et al. 2006, The Astronomical Journal, 131, 2766
# Table 3
# Quasar Number Counts (3 < z < 5)
# i	N(i)	       	 N(<i) 		NQ	NQcor
17.075	0.0007  0.00  	 0.0007  0.00	1	1.1
17.325	0.0028  0.00	 0.0035  0.00	4	4.5
17.575	0.0089  0.00	 0.0124  0.00	12	14.2
17.825	0.0089  0.00	 0.0213  0.00	12	14.2
18.075	0.0186  0.00	 0.0399  0.00	26	29.7
18.325	0.0349  0.01	 0.0748  0.00	47	55.8
18.575	0.0524  0.01	 0.127   0.01	72	83.8
18.825	0.0779  0.01	 0.205   0.01	106	124.7
19.075	0.1234  0.01	 0.33    0.01	162	197.5
19.325	0.1678  0.01	 0.49    0.01	206	268.4
19.575	0.2251  0.01	 0.71    0.01	275	360.2
19.825	0.2846  0.02	 0.99    0.01	322	455.4
20.075	0.3859  0.02	 1.37    0.02	410	617.5
