# BH mass function from LF assuming constant Eddington
# ratio and constant efficiency accretion.
# Output is for z=0.00.
# Masses are in Msun, volumes (Mpc/h)^3, mass function per dex.
#        MBH          Phi
  1.0000e+06   3.5051e-04
  1.4678e+06   3.4336e-04
  2.1544e+06   3.4120e-04
  3.1623e+06   3.4922e-04
  4.6416e+06   3.7720e-04
  6.8129e+06   4.3924e-04
  1.0000e+07   5.4242e-04
  1.4678e+07   6.6223e-04
  2.1544e+07   7.4635e-04
  3.1623e+07   7.6763e-04
  4.6416e+07   7.4141e-04
  6.8129e+07   6.9453e-04
  1.0000e+08   6.4579e-04
  1.4678e+08   6.0466e-04
  2.1544e+08   5.7220e-04
  3.1623e+08   5.3640e-04
  4.6416e+08   4.6847e-04
  6.8129e+08   3.4955e-04
  1.0000e+09   2.1316e-04
  1.4678e+09   1.0984e-04
  2.1544e+09   5.1218e-05
  3.1623e+09   2.2915e-05
  4.6416e+09   1.0267e-05
  6.8129e+09   4.7927e-06
  1.0000e+10   2.4427e-06
