Title: Self-Consistent Models of the Agn and Black Hole Populations: Duty 
       Cycles, Accretion Rates, and the Mean Radiative Efficiency  
Authors: Shankar F., Weinberg D.H., Miralda-Escude J. 
Table: Black Hole Mass Functions
================================================================================
Byte-by-byte Description of file: apj290759t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label    Explanations
--------------------------------------------------------------------------------
   1-  8 F8.6   ---       z        Redshift
  10- 17 F8.6   [solMass] logM     Log of black hole mass 
  19- 27 F9.6   [Mpc-3]   logP     Log reference black hole mass function
  29- 37 F9.6   [Mpc-3]   logPnoCT Log reference black hole mass function with
                                    no Compton-thick sources (1)
  39- 47 F9.6   [Mpc-3]   logPDCT  Log reference black hole mass function with
                                    double Compton-thick sources (2)
  49- 57 F9.6   [Mpc-3]   logPHRH  Log reference black hole mass function 
                                    with HRH07 luminosity function (3)
  59- 67 F9.6   [Mpc-3]   logPExt  Log reference black hole mass function with
                                    modified HRH07 (4)
--------------------------------------------------------------------------------
Note (1): (i.e., with logNH/cm^−2^ > 24).
Note (2): (i.e., with logNH/cm^−2^ {<=} 26).
Note (3): where HRH07 is Hopkins, Richards & Hernquist (2007).
Note (4): Obtained adopting the Hopkins, Richards & Hernquist (2007) luminosity
          function with {epsilon} = 0.09 and mdot = 1, as in Figure 8d.
--------------------------------------------------------------------------------
0.260000 8.200000 -2.840520 -2.960769 -2.745946 -2.861197 -2.840055 
0.260000 8.400000 -3.016968 -3.133632 -2.924746 -2.962289 -2.984721 
0.260000 8.600000 -3.205396 -3.318323 -3.115614 -3.077544 -3.186963 
0.260000 8.800000 -3.419593 -3.528965 -3.332118 -3.227802 -3.460022 
0.260000 9.000000 -3.689338 -3.795548 -3.603928 -3.438737 -3.794747 
0.260000 9.200000 -4.007211 -4.110334 -3.923829 -3.720982 -4.169215 
0.260000 9.400000 -4.344644 -4.444603 -4.263351 -4.061842 -4.564080 
0.260000 9.600000 -4.686923 -4.783678 -4.607761 -4.439541 -4.967342 
0.500000 5.000000 -1.681185 -1.811696 -1.571767 -1.313416 -1.299141 
0.500000 5.200000 -1.810806 -1.941313 -1.701380 -1.422433 -1.406921 
0.500000 5.400000 -1.936920 -2.067424 -1.827488 -1.530858 -1.514070 
0.500000 5.600000 -2.059828 -2.190330 -1.950392 -1.638671 -1.620551 
0.500000 5.800000 -2.179683 -2.310168 -2.070208 -1.745840 -1.726309 
0.500000 6.000000 -2.294949 -2.425176 -2.184929 -1.852326 -1.831246 
0.500000 6.200000 -2.395554 -2.524589 -2.283078 -1.958081 -1.935219 
0.500000 6.400000 -2.460250 -2.587813 -2.344310 -2.063018 -2.037959 
0.500000 6.600000 -2.483226 -2.612564 -2.366345 -2.166977 -2.139001 
0.500000 6.800000 -2.482778 -2.618254 -2.365997 -2.269681 -2.237568 
0.500000 7.000000 -2.478070 -2.618638 -2.362105 -2.370600 -2.332430 
0.500000 7.200000 -2.482268 -2.622064 -2.369432 -2.468914 -2.422264 
0.500000 7.400000 -2.501921 -2.637525 -2.393095 -2.563409 -2.506407 
0.500000 7.600000 -2.544658 -2.675749 -2.439603 -2.652770 -2.586263 
0.500000 7.800000 -2.618357 -2.745356 -2.516796 -2.736533 -2.665897 
0.500000 8.000000 -2.727474 -2.850786 -2.629025 -2.816433 -2.751751 
0.500000 8.200000 -2.870934 -2.990769 -2.775262 -2.896914 -2.854521 
0.500000 8.400000 -3.039344 -3.155685 -2.946339 -2.984585 -2.993499 
0.500000 8.600000 -3.221216 -3.333897 -3.130902 -3.090813 -3.192828 
0.500000 8.800000 -3.430915 -3.540101 -3.343069 -3.235911 -3.464544 
0.500000 9.000000 -3.698289 -3.804352 -3.612586 -3.444256 -3.798719 
0.500000 9.200000 -4.014987 -4.117985 -3.931352 -3.725324 -4.173015 
0.500000 9.400000 -4.351651 -4.451498 -4.270129 -4.065711 -4.567877 
0.500000 9.600000 -4.693283 -4.789936 -4.613914 -4.443272 -4.971204 
0.740000 5.000000 -1.858216 -1.987452 -1.746254 -1.493026 -1.466043 
0.740000 5.200000 -1.987755 -2.116983 -1.875778 -1.594206 -1.566254 
0.740000 5.400000 -2.113717 -2.242939 -2.001727 -1.694950 -1.666005 
0.740000 5.600000 -2.236357 -2.365573 -2.124354 -1.795243 -1.765273 
0.740000 5.800000 -2.355826 -2.485038 -2.243815 -1.895067 -1.864021 
0.740000 6.000000 -2.471830 -2.601041 -2.359816 -1.994400 -1.962191 
0.740000 6.200000 -2.582795 -2.712024 -2.470779 -2.093216 -2.059691 
0.740000 6.400000 -2.684481 -2.814014 -2.572235 -2.191465 -2.156349 
0.740000 6.600000 -2.765625 -2.897486 -2.651045 -2.289049 -2.251846 
0.740000 6.800000 -2.800345 -2.938422 -2.677577 -2.385790 -2.345585 
0.740000 7.000000 -2.768949 -2.910427 -2.638905 -2.481320 -2.436424 
0.740000 7.200000 -2.706739 -2.844948 -2.580278 -2.574986 -2.522521 
0.740000 7.400000 -2.663780 -2.797252 -2.545527 -2.665588 -2.601332 
0.740000 7.600000 -2.662114 -2.791438 -2.550937 -2.751157 -2.670984 
0.740000 7.800000 -2.705365 -2.830990 -2.599693 -2.829138 -2.733662 
0.740000 8.000000 -2.792739 -2.914976 -2.691376 -2.897908 -2.799044 
0.740000 8.200000 -2.919952 -3.038925 -2.822122 -2.960740 -2.884150 
0.740000 8.400000 -3.075596 -3.191235 -2.980975 -3.028289 -3.011511 
0.740000 8.600000 -3.247269 -3.359375 -3.155759 -3.117879 -3.204522 
0.740000 8.800000 -3.450055 -3.558772 -3.361287 -3.252379 -3.473148 
0.740000 9.000000 -3.713945 -3.819597 -3.627436 -3.455105 -3.805870 
0.740000 9.200000 -4.029115 -4.131720 -3.944701 -3.733461 -4.179460 
0.740000 9.400000 -4.364887 -4.464341 -4.282586 -4.072564 -4.573932 
0.740000 9.600000 -4.705776 -4.802035 -4.625626 -4.449496 -4.976988 
1.010000 5.000000 -2.036460 -2.164574 -1.922257 -1.691431 -1.653037 
1.010000 5.200000 -2.165968 -2.294068 -2.051740 -1.785317 -1.746149 
1.010000 5.400000 -2.291875 -2.419963 -2.177622 -1.878876 -1.838918 
1.010000 5.600000 -2.414426 -2.542501 -2.300144 -1.972098 -1.931326 
1.010000 5.800000 -2.533761 -2.661820 -2.419449 -2.064973 -2.023343 
1.010000 6.000000 -2.649573 -2.777616 -2.535228 -2.157485 -2.114925 
1.010000 6.200000 -2.760293 -2.888333 -2.645903 -2.249618 -2.206001 
1.010000 6.400000 -2.861814 -2.990156 -2.747197 -2.341338 -2.296445 
1.010000 6.600000 -2.944644 -3.075677 -2.828416 -2.432576 -2.386027 
1.010000 6.800000 -2.993349 -3.132943 -2.872218 -2.523203 -2.474322 
1.010000 7.000000 -3.003174 -3.151149 -2.877165 -2.612956 -2.560481 
1.010000 7.200000 -2.984496 -3.130542 -2.857682 -2.701362 -2.642989 
1.010000 7.400000 -2.941655 -3.078158 -2.815696 -2.787512 -2.719194 
1.010000 7.600000 -2.892426 -3.019759 -2.769788 -2.869734 -2.785397 
1.010000 7.800000 -2.875044 -2.997328 -2.759397 -2.945211 -2.839179 
1.010000 8.000000 -2.914953 -3.034462 -2.806595 -3.010069 -2.886066 
1.010000 8.200000 -3.009884 -3.126853 -2.907250 -3.062643 -2.946846 
1.010000 8.400000 -3.142432 -3.256567 -3.044439 -3.110514 -3.052985 
1.010000 8.600000 -3.296411 -3.407362 -3.202531 -3.175944 -3.232302 
1.010000 8.800000 -3.487575 -3.595376 -3.397030 -3.290444 -3.493483 
1.010000 9.000000 -3.746242 -3.851095 -3.658180 -3.480770 -3.822350 
1.010000 9.200000 -4.059972 -4.161801 -3.974034 -3.752521 -4.193795 
1.010000 9.400000 -4.395510 -4.494176 -4.311657 -4.088180 -4.586871 
1.010000 9.600000 -4.736356 -4.831807 -4.654616 -4.463169 -4.988835 
1.250000 5.000000 -2.179577 -2.306898 -2.063791 -1.864329 -1.817701 
1.250000 5.200000 -2.309054 -2.436358 -2.193235 -1.952727 -1.905452 
1.250000 5.400000 -2.434908 -2.562195 -2.319054 -2.040862 -1.992925 
1.250000 5.600000 -2.557375 -2.684643 -2.441483 -2.128730 -2.080103 
1.250000 5.800000 -2.676587 -2.803835 -2.560654 -2.216320 -2.166960 
