# cos_pc19a_npr/BOSS/QLF/bhmf > ./bh_massfn.py 6.0
# BH mass function from LF assuming constant Eddington
# ratio and constant efficiency accretion.
# Output is for z=6.00.
# Masses are in Msun, volumes (Mpc/h)^3, mass function per dex.
#        MBH          Phi
  1.0000e+06   6.1786e-06
  1.4678e+06   5.7277e-06
  2.1544e+06   5.2468e-06
  3.1623e+06   4.7551e-06
  4.6416e+06   4.2716e-06
  6.8129e+06   3.8125e-06
  1.0000e+07   3.3897e-06
  1.4678e+07   3.0098e-06
  2.1544e+07   2.6754e-06
  3.1623e+07   2.3854e-06
  4.6416e+07   2.1364e-06
  6.8129e+07   1.9241e-06
  1.0000e+08   1.7434e-06
  1.4678e+08   1.5898e-06
  2.1544e+08   1.4588e-06
  3.1623e+08   1.3465e-06
  4.6416e+08   1.2498e-06
  6.8129e+08   1.1659e-06
  1.0000e+09   1.0925e-06
  1.4678e+09   1.0279e-06
  2.1544e+09   9.7039e-07
  3.1623e+09   9.1890e-07
  4.6416e+09   8.7243e-07
  6.8129e+09   8.3017e-07
  1.0000e+10   7.9148e-07
