      2.55000     -21.7500     -10000.0     -999.000      0.00000      999.999
      2.55000     -21.4500     -10000.0     -999.000      0.00000      999.999
      2.55000     -21.1500     -10000.0     -999.000      0.00000      999.999
      2.55000     -20.8500     -10000.0     -999.000      0.00000      999.999
      2.55000     -20.5500     -10000.0     -999.000      0.00000      999.999
      2.55000     -20.2500     -10000.0     -999.000      0.00000      999.999
      2.55000     -19.9500     -10000.0     -999.000      0.00000      999.999
      2.55000     -19.6500     -10000.0     -999.000      0.00000      999.999
      2.65000     -30.7500     -10000.0     -999.000      0.00000      999.999
      2.65000     -30.4500     -10000.0     -999.000      0.00000      999.999
      2.65000     -30.1500     -10000.0     -999.000      0.00000      999.999
      2.65000     -29.8500     -10000.0     -999.000      0.00000      999.999
      2.65000     -29.5500     -10000.0     -999.000      0.00000      999.999
      2.65000     -29.2500     -10000.0     -999.000      0.00000      999.999
      2.65000     -28.9500     -10000.0     -999.000      0.00000      999.999
  2.65000   -28.65000    2.407315e-08     -7.09558842      64    9.984147e-09
  2.65000   -28.35000    1.523360e-08     -7.29431869      40    7.942292e-09
  2.65000   -28.05000    1.043846e-08     -7.45848485      28    6.574501e-09
  2.65000   -27.75000    1.633324e-08     -7.26404891      43    8.223956e-09
  2.65000   -27.45000    3.405737e-08     -6.94491017      91    1.187545e-08
  2.65000   -27.15000    5.158567e-08     -6.76459219     138    1.461535e-08
  2.65000   -26.85000    7.418872e-08     -6.60678336     199    1.752724e-08
  2.65000   -26.55000    8.255453e-08     -6.56038035     221    1.848907e-08
  2.65000   -26.25000    1.238433e-07     -6.38424870     332    2.264545e-08
  2.65000   -25.95000    1.671328e-07     -6.25405956     448    2.630725e-08
  2.65000   -25.65000    2.165633e-07     -6.14153645     581    2.994587e-08
  2.65000   -25.35000    2.509710e-07     -6.07749780     673    3.223712e-08
  2.65000   -25.05000    2.874992e-07     -6.01848465     771    3.450348e-08
  2.65000   -24.75000    4.565080e-07     -5.81767289    1224    4.347792e-08
  2.65000   -24.45000    1.478299e-07     -6.30735892     396    2.474148e-08
      2.65000     -24.1500     -10000.0     -999.000      0.00000      999.999
  2.65000   -24.15000    0.000000e+00       -Infinity       0            -NaN
      2.65000     -23.8500     -10000.0     -999.000      0.00000      999.999
      2.65000     -23.5500     -10000.0     -999.000      0.00000      999.999
      2.65000     -23.2500     -10000.0     -999.000      0.00000      999.999
      2.65000     -22.9500     -10000.0     -999.000      0.00000      999.999
      2.65000     -22.6500     -10000.0     -999.000      0.00000      999.999
      2.65000     -22.3500     -10000.0     -999.000      0.00000      999.999
      2.65000     -22.0500     -10000.0     -999.000      0.00000      999.999
      2.65000     -21.7500     -10000.0     -999.000      0.00000      999.999
      2.65000     -21.4500     -10000.0     -999.000      0.00000      999.999
      2.65000     -21.1500     -10000.0     -999.000      0.00000      999.999
      2.65000     -20.8500     -10000.0     -999.000      0.00000      999.999
      2.65000     -20.5500     -10000.0     -999.000      0.00000      999.999
      2.65000     -20.2500     -10000.0     -999.000      0.00000      999.999
      2.65000     -19.9500     -10000.0     -999.000      0.00000      999.999
      2.65000     -19.6500     -10000.0     -999.000      0.00000      999.999
      2.75000     -30.7500     -10000.0     -999.000      0.00000      999.999
      2.75000     -30.4500     -10000.0     -999.000      0.00000      999.999
      2.75000     -30.1500     -10000.0     -999.000      0.00000      999.999
      2.75000     -29.8500     -10000.0     -999.000      0.00000      999.999
      2.75000     -29.5500     -10000.0     -999.000      0.00000      999.999
      2.75000     -29.2500     -10000.0     -999.000      0.00000      999.999
      2.75000     -28.9500     -10000.0     -999.000      0.00000      999.999
  2.75000   -28.65000    4.110908e-08     -6.86318352     109    1.306824e-08
  2.75000   -28.35000    1.291230e-08     -7.36611750      34    7.324032e-09
  2.75000   -28.05000    1.097632e-08     -7.43666453      29    6.752689e-09
  2.75000   -27.75000    2.228435e-08     -7.12912138      59    9.621623e-09
  2.75000   -27.45000    4.324198e-08     -6.84121570     115    1.340297e-08
  2.75000   -27.15000    4.765021e-08     -6.79905647     127    1.406957e-08
  2.75000   -26.85000    6.024531e-08     -6.69719805     161    1.582013e-08
  2.75000   -26.55000    9.904923e-08     -6.48127018     264    2.028495e-08
  2.75000   -26.25000    1.194211e-07     -6.40004012     319    2.227352e-08
  2.75000   -25.95000    1.369024e-07     -6.34071033     366    2.384810e-08
  2.75000   -25.65000    2.358475e-07     -6.10449003     630    3.130142e-08
  2.75000   -25.35000    2.350726e-07     -6.10591934     628    3.124995e-08
  2.75000   -25.05000    3.708630e-07     -5.90790774     991    3.925140e-08
  2.75000   -24.75000    3.602923e-07     -5.92046629     963    3.868796e-08
  2.75000   -24.45000    6.960645e-08     -6.63447177     186    1.700486e-08
      2.75000     -24.1500     -10000.0     -999.000      0.00000      999.999
  2.75000   -24.15000    0.000000e+00       -Infinity       0            -NaN
      2.75000     -23.8500     -10000.0     -999.000      0.00000      999.999
      2.75000     -23.5500     -10000.0     -999.000      0.00000      999.999
      2.75000     -23.2500     -10000.0     -999.000      0.00000      999.999
      2.75000     -22.9500     -10000.0     -999.000      0.00000      999.999
      2.75000     -22.6500     -10000.0     -999.000      0.00000      999.999
      2.75000     -22.3500     -10000.0     -999.000      0.00000      999.999
      2.75000     -22.0500     -10000.0     -999.000      0.00000      999.999
      2.75000     -21.7500     -10000.0     -999.000      0.00000      999.999
      2.75000     -21.4500     -10000.0     -999.000      0.00000      999.999
      2.75000     -21.1500     -10000.0     -999.000      0.00000      999.999
      2.75000     -20.8500     -10000.0     -999.000      0.00000      999.999
      2.75000     -20.5500     -10000.0     -999.000      0.00000      999.999
      2.75000     -20.2500     -10000.0     -999.000      0.00000      999.999
      2.75000     -19.9500     -10000.0     -999.000      0.00000      999.999
      2.75000     -19.6500     -10000.0     -999.000      0.00000      999.999
      2.90000     -30.7500     -10000.0     -999.000      0.00000      999.999
      2.90000     -30.4500     -10000.0     -999.000      0.00000      999.999
      2.90000     -30.1500     -10000.0     -999.000      0.00000      999.999
      2.90000     -29.8500     -10000.0     -999.000      0.00000      999.999
      2.90000     -29.5500     -10000.0     -999.000      0.00000      999.999
      2.90000     -29.2500     -10000.0     -999.000      0.00000      999.999
      2.90000     -28.9500     -10000.0     -999.000      0.00000      999.999
  2.90000   -28.65000    2.427021e-08     -7.09204769     128    7.124547e-09
  2.90000   -28.35000    3.271550e-08     -6.96236769     173    8.271747e-09
  2.90000   -28.05000    1.384377e-08     -7.33586680      73    5.380810e-09
  2.90000   -27.75000    3.255627e-08     -6.96448662     172    8.251593e-09
  2.90000   -27.45000    4.576208e-08     -6.81661549     243    9.783029e-09
  2.90000   -27.15000    7.026554e-08     -6.63037886     373    1.212248e-08
  2.90000   -26.85000    7.943722e-08     -6.57709724     422    1.288939e-08
  2.90000   -26.55000    1.214074e-07     -6.39287610     645    1.593467e-08
  2.90000   -26.25000    1.554924e-07     -6.28541202     826    1.803329e-08
  2.90000   -25.95000    1.776821e-07     -6.22747760     943    1.927713e-08
  2.90000   -25.65000    2.325896e-07     -6.11053089    1235    2.205543e-08
  2.90000   -25.35000    2.600635e-07     -6.06204185    1381    2.332170e-08
  2.90000   -25.05000    3.557675e-07     -5.92595505    1890    2.727744e-08
  2.90000   -24.75000    1.988564e-07     -6.17858178    1056    2.039343e-08
      2.90000     -24.4500     -10000.0     -999.000      0.00000      999.999
  2.90000   -24.45000    0.000000e+00       -Infinity       0            -NaN
      2.90000     -24.1500     -10000.0     -999.000      0.00000      999.999
      2.90000     -23.8500     -10000.0     -999.000      0.00000      999.999
      2.90000     -23.5500     -10000.0     -999.000      0.00000      999.999
      2.90000     -23.2500     -10000.0     -999.000      0.00000      999.999
      2.90000     -22.9500     -10000.0     -999.000      0.00000      999.999
      2.90000     -22.6500     -10000.0     -999.000      0.00000      999.999
      2.90000     -22.3500     -10000.0     -999.000      0.00000      999.999
      2.90000     -22.0500     -10000.0     -999.000      0.00000      999.999
      2.90000     -21.7500     -10000.0     -999.000      0.00000      999.999
      2.90000     -21.4500     -10000.0     -999.000      0.00000      999.999
      2.90000     -21.1500     -10000.0     -999.000      0.00000      999.999
      2.90000     -20.8500     -10000.0     -999.000      0.00000      999.999
      2.90000     -20.5500     -10000.0     -999.000      0.00000      999.999
      2.90000     -20.2500     -10000.0     -999.000      0.00000      999.999
      2.90000     -19.9500     -10000.0     -999.000      0.00000      999.999
      2.90000     -19.6500     -10000.0     -999.000      0.00000      999.999
      3.12500     -30.7500     -10000.0     -999.000      0.00000      999.999
      3.12500     -30.4500     -10000.0     -999.000      0.00000      999.999
      3.12500     -30.1500     -10000.0     -999.000      0.00000      999.999
      3.12500     -29.8500     -10000.0     -999.000      0.00000      999.999
      3.12500     -29.5500     -10000.0     -999.000      0.00000      999.999
      3.12500     -29.2500     -10000.0     -999.000      0.00000      999.999
  3.12500   -28.95000    6.300692e-08     -6.67773301     412    1.033749e-08
  3.12500   -28.65000    1.104131e-08     -7.43410082      72    4.327441e-09
  3.12500   -28.35000    8.788956e-09     -7.53318398      57    3.860909e-09
  3.12500   -28.05000    1.279646e-08     -7.37003153      83    4.658711e-09
  3.12500   -27.75000    1.958876e-08     -7.18511442     128    5.764005e-09
  3.12500   -27.45000    3.061987e-08     -6.99111787     200    7.206471e-09
  3.12500   -27.15000    3.999105e-08     -6.87515846     261    8.235734e-09
  3.12500   -26.85000    6.383558e-08     -6.67205846     418    1.040525e-08
  3.12500   -26.55000    9.195913e-08     -6.51352643     602    1.248873e-08
  3.12500   -26.25000    1.156507e-07     -6.41397308     757    1.400538e-08
  3.12500   -25.95000    1.157578e-07     -6.41357088     758    1.401187e-08
  3.12500   -25.65000    1.411479e-07     -6.32744672     924    1.547242e-08
  3.12500   -25.35000    1.562371e-07     -6.28333713    1023    1.627845e-08
  3.12500   -25.05000    1.854211e-07     -6.20896220    1214    1.773375e-08
      3.12500     -24.7500     -10000.0     -999.000      0.00000      999.999
  3.12500   -24.75000    0.000000e+00       -Infinity       0            -NaN
      3.12500     -24.4500     -10000.0     -999.000      0.00000      999.999
  3.12500   -24.45000    0.000000e+00       -Infinity       0            -NaN
      3.12500     -24.1500     -10000.0     -999.000      0.00000      999.999
      3.12500     -23.8500     -10000.0     -999.000      0.00000      999.999
      3.12500     -23.5500     -10000.0     -999.000      0.00000      999.999
      3.12500     -23.2500     -10000.0     -999.000      0.00000      999.999
      3.12500     -22.9500     -10000.0     -999.000      0.00000      999.999
      3.12500     -22.6500     -10000.0     -999.000      0.00000      999.999
      3.12500     -22.3500     -10000.0     -999.000      0.00000      999.999
      3.12500     -22.0500     -10000.0     -999.000      0.00000      999.999
      3.12500     -21.7500     -10000.0     -999.000      0.00000      999.999
      3.12500     -21.4500     -10000.0     -999.000      0.00000      999.999
      3.12500     -21.1500     -10000.0     -999.000      0.00000      999.999
      3.12500     -20.8500     -10000.0     -999.000      0.00000      999.999
      3.12500     -20.5500     -10000.0     -999.000      0.00000      999.999
      3.12500     -20.2500     -10000.0     -999.000      0.00000      999.999
      3.12500     -19.9500     -10000.0     -999.000      0.00000      999.999
      3.12500     -19.6500     -10000.0     -999.000      0.00000      999.999
      3.37500     -30.7500     -10000.0     -999.000      0.00000      999.999
      3.37500     -30.4500     -10000.0     -999.000      0.00000      999.999
      3.37500     -30.1500     -10000.0     -999.000      0.00000      999.999
      3.37500     -29.8500     -10000.0     -999.000      0.00000      999.999
      3.37500     -29.5500     -10000.0     -999.000      0.00000      999.999
      3.37500     -29.2500     -10000.0     -999.000      0.00000      999.999
  3.37500   -28.95000        Infinity        Infinity********            -NaN
  3.37500   -28.65000        Infinity        Infinity********            -NaN
  3.37500   -28.35000    1.041415e-08     -7.45949763      66    4.242401e-09
  3.37500   -28.05000    8.341220e-09     -7.55589168      53    3.796774e-09
  3.37500   -27.75000    1.884964e-08     -7.20181815     121    5.707573e-09
  3.37500   -27.45000    2.182383e-08     -7.13819021     140    6.141373e-09
  3.37500   -27.15000    3.131836e-08     -6.98132226     201    7.356978e-09
  3.37500   -26.85000    3.148588e-08     -6.97900549     202    7.376627e-09
  3.37500   -26.55000    3.883200e-08     -6.88793150     249    8.192092e-09
  3.37500   -26.25000    3.998359e-08     -6.87523948     257    8.312676e-09
  3.37500   -25.95000    4.645333e-08     -6.81010438     298    8.960008e-09
  3.37500   -25.65000    3.736161e-08     -6.90469570     240    8.035496e-09
  3.37500   -25.35000    4.574667e-08     -6.81676181     294    8.891595e-09
  3.37500   -25.05000    2.200624e-08     -7.13457545     141    6.166984e-09
      3.37500     -24.7500     -10000.0     -999.000      0.00000      999.999
  3.37500   -24.75000    0.000000e+00       -Infinity       0            -NaN
      3.37500     -24.4500     -10000.0     -999.000      0.00000      999.999
      3.37500     -24.1500     -10000.0     -999.000      0.00000      999.999
      3.37500     -23.8500     -10000.0     -999.000      0.00000      999.999
      3.37500     -23.5500     -10000.0     -999.000      0.00000      999.999
      3.37500     -23.2500     -10000.0     -999.000      0.00000      999.999
      3.37500     -22.9500     -10000.0     -999.000      0.00000      999.999
      3.37500     -22.6500     -10000.0     -999.000      0.00000      999.999
      3.37500     -22.3500     -10000.0     -999.000      0.00000      999.999
      3.37500     -22.0500     -10000.0     -999.000      0.00000      999.999
      3.37500     -21.7500     -10000.0     -999.000      0.00000      999.999
      3.37500     -21.4500     -10000.0     -999.000      0.00000      999.999
      3.37500     -21.1500     -10000.0     -999.000      0.00000      999.999
      3.37500     -20.8500     -10000.0     -999.000      0.00000      999.999
      3.37500     -20.5500     -10000.0     -999.000      0.00000      999.999
      3.37500     -20.2500     -10000.0     -999.000      0.00000      999.999
      3.37500     -19.9500     -10000.0     -999.000      0.00000      999.999
      3.37500     -19.6500     -10000.0     -999.000      0.00000      999.999
      3.75000     -30.7500     -10000.0     -999.000      0.00000      999.999
      3.75000     -30.4500     -10000.0     -999.000      0.00000      999.999
      3.75000     -30.1500     -10000.0     -999.000      0.00000      999.999
      3.75000     -29.8500     -10000.0     -999.000      0.00000      999.999
      3.75000     -29.5500     -10000.0     -999.000      0.00000      999.999
      3.75000     -29.2500     -10000.0     -999.000      0.00000      999.999
      3.75000     -28.9500     -10000.0     -999.000      0.00000      999.999
  3.75000   -28.65000        Infinity        Infinity********            -NaN
