# bj LF at z = 2.42 (DT_uni = 2.51e9 -- 2.79e9 ) from NF+12
# Omega_m = 0.25 Lambda = 0.75 Omega_b = 0.045 h0 = 0.7   
#		mbj		Phi (total)	Phi (visible)
       -29.6       -1000       -1000
       -28.7      -9.376      -9.377
       -27.8      -7.745      -7.773
       -26.9       -6.92      -6.979
         -26      -6.338      -6.434
       -25.1      -5.854       -5.99
       -24.2      -5.456      -5.636
       -23.3      -5.112      -5.342
       -22.4      -4.817      -5.104
       -21.5      -4.544      -4.895
       -20.6      -4.283       -4.71
       -19.7      -4.048      -4.568
       -18.8      -3.865      -4.502
       -17.9      -3.742      -4.539
         -17      -3.698      -4.748

