# bj LF at z = 2.07 (DT_uni = 2.94e9 -- 3.27e9 ) from NF+12
# Omega_m = 0.25 Lambda = 0.75 Omega_b = 0.045 h0 = 0.7   
#		mbj		Phi (total)	Phi (visible)
       -29.6       -1000       -1000
       -28.7       -9.35       -9.35
       -27.8      -7.838      -7.853
       -26.9      -7.029      -7.075
         -26      -6.435      -6.516
       -25.1      -5.959      -6.079
       -24.2      -5.557      -5.719
       -23.3      -5.218      -5.428
       -22.4      -4.924      -5.188
       -21.5       -4.64      -4.965
       -20.6      -4.366      -4.762
       -19.7      -4.124      -4.605
       -18.8       -3.94      -4.527
       -17.9      -3.826      -4.551
         -17      -3.772      -4.704

