# Band_lum   "Abs. mono AB mag"  mono_flux bolo_lum no_density
 47.495981 -30.061501 1.072703e+00 48.400000 1.283441e-09 
 47.597584 -30.315509 1.355448e+00 48.500000 8.121402e-10 
 47.699153 -30.569431 1.712582e+00 48.600000 5.137056e-10 
 47.800690 -30.823272 2.163654e+00 48.700000 3.248214e-10 
 47.902196 -31.077039 2.733346e+00 48.800000 2.053224e-10 
 48.003676 -31.330738 3.452822e+00 48.900000 1.297479e-10 
 48.105130 -31.584374 4.361428e+00 49.000000 8.196823e-11 
 48.206562 -31.837952 5.508836e+00 49.100000 5.177012e-11 
 48.307971 -32.091477 6.957764e+00 49.200000 3.268942e-11 
 48.409362 -32.344952 8.787388e+00 49.300000 2.063644e-11 
 48.510733 -32.598382 1.109767e+01 49.400000 1.302467e-11 
 48.612089 -32.851770 1.401480e+01 49.500000 8.218774e-12 
 48.713428 -33.105119 1.769810e+01 49.600000 5.185128e-12 
 48.814754 -33.358433 2.234870e+01 49.700000 3.270600e-12 
 48.916066 -33.611714 2.822049e+01 49.800000 2.062596e-12 
 49.017367 -33.864965 3.563403e+01 49.900000 1.300537e-12 
 49.118656 -34.118188 4.499396e+01 50.000000 8.198902e-13 
 49.219935 -34.371386 5.681110e+01 50.100000 5.167921e-13 
 49.321205 -34.624560 7.173033e+01 50.200000 3.256908e-13 
 49.422465 -34.877712 9.056568e+01 50.300000 2.052235e-13 
 49.523718 -35.130844 1.143448e+02 50.400000 1.292952e-13 
 49.624964 -35.383958 1.443650e+02 50.500000 8.144673e-14 
 49.726202 -35.637055 1.822639e+02 50.600000 5.129819e-14 
 49.827435 -35.890136 2.301088e+02 50.700000 3.230492e-14 
 49.928662 -36.143202 2.905092e+02 50.800000 2.034107e-14 
 50.029883 -36.396256 3.667594e+02 50.900000 1.280609e-14 
 50.131099 -36.649297 4.630179e+02 51.000000 8.061074e-15 
 50.232311 -36.902327 5.845340e+02 51.100000 5.073350e-15 
 50.333519 -37.155347 7.379341e+02 51.200000 3.192275e-15 
 50.434723 -37.408357 9.315832e+02 51.300000 2.005475e-15 
 50.535924 -37.661358 1.176040e+03 51.400000 1.176313e-15 
 50.637121 -37.914351 1.484634e+03 51.500000 6.572327e-16 
