# <M_i(z=2)> = -26.0
#      z    kcorr
# NPR added 0.005<z<0.095 bins...
  3.385   -0.438
  3.395   -0.443
  3.405   -0.450
  3.415   -0.457
  3.425   -0.465
  3.435   -0.473
  3.445   -0.482
  3.455   -0.490
  3.465   -0.500
  3.475   -0.509
  3.485   -0.518
  3.495   -0.527
  3.505   -0.535
  3.515   -0.543
  3.525   -0.550
  3.535   -0.557
  3.545   -0.563
  3.555   -0.568
  3.565   -0.571
  3.575   -0.574
  3.585   -0.578
  3.595   -0.584
  3.605   -0.584
  3.615   -0.586
  3.625   -0.587
  3.635   -0.584
  3.645   -0.583
  3.655   -0.585
  3.665   -0.582
  3.675   -0.586
  3.685   -0.587
  3.695   -0.583
  3.705   -0.587
  3.715   -0.583
  3.725   -0.585
  3.735   -0.589
  3.745   -0.583
  3.755   -0.583
  3.765   -0.585
  3.775   -0.582
  3.785   -0.582
  3.795   -0.584
  3.805   -0.582
  3.815   -0.587
  3.825   -0.582
  3.835   -0.584
  3.845   -0.582
  3.855   -0.577
  3.865   -0.574
  3.875   -0.574
  3.885   -0.569
  3.895   -0.569
  3.905   -0.568
  3.915   -0.566
  3.925   -0.565
  3.935   -0.564
  3.945   -0.568
  3.955   -0.571
  3.965   -0.573
  3.975   -0.578
  3.985   -0.580
  3.995   -0.581
  4.005   -0.583
  4.015   -0.583
  4.025   -0.579
  4.035   -0.584
  4.045   -0.579
  4.055   -0.579
  4.065   -0.579
  4.075   -0.577
  4.085   -0.575
  4.095   -0.579
  4.105   -0.574
  4.115   -0.577
  4.125   -0.576
  4.135   -0.576
  4.145   -0.571
  4.155   -0.575
  4.165   -0.570
  4.175   -0.573
  4.185   -0.572
  4.195   -0.567
  4.205   -0.566
  4.215   -0.568
  4.225   -0.563
  4.235   -0.554
  4.245   -0.550
  4.255   -0.553
  4.265   -0.538
  4.275   -0.535
  4.285   -0.527
  4.295   -0.524
  4.305   -0.524
  4.315   -0.513
  4.325   -0.510
  4.335   -0.495
  4.345   -0.494
  4.355   -0.488
  4.365   -0.489
  4.375   -0.485
  4.385   -0.477
  4.395   -0.475
  4.405   -0.476
  4.415   -0.474
  4.425   -0.473
  4.435   -0.475
  4.445   -0.477
  4.455   -0.478
  4.465   -0.482
  4.475   -0.486
  4.485   -0.491
  4.495   -0.497
  4.505   -0.505
  4.515   -0.514
  4.525   -0.523
  4.535   -0.529
  4.545   -0.545
  4.555   -0.551
  4.565   -0.563
  4.575   -0.584
  4.585   -0.595
  4.595   -0.618
  4.605   -0.627
