#redshift	Phi_Star alpha	beta	k1	k2	chi_sq_min	No_of_bins	Comment
2.20 2.30	-5.57	-2.85	-1.05  	1.160	-0.228  33.9859         14		Various bins, k1,k2=2,6 and 34, 53, 39
2.30 2.40       -5.67	-2.95 	-1.20  	0.960   -0.128  32.2884        	14		Various bins, k1,k2=0,7 and 32, 86,  1
2.40 2.50	-5.62   -2.90   -1.10  	1.660   -0.428  32.7724           		Various bins, k1,k2=7,4 and 33, 52, 38
2.50 2.60       -5.62   -2.85	-1.15  	0.960   -0.128	34.4181 	14		Various bins, k1,k2=0,7 and 33, 53, 37
2.60 2.70       -5.57   -2.80 	-1.05  	1.460   -0.328	33.0962  	13		Various bins, k1,k2=5,5 and 34, 89, 4
2.70 2.80      	-5.67   -2.95	-1.20   0.960   -0.128  32.6988 	13 		Various bins, k1,k2=0,7 and 32, 86, 1 
2.80 3.00       -5.
3.00 3.25       -5.		
3.25 3.50	-5.
