## 
##    alpha,  beta,   Mstar0_g,  c1, c2, alog10(phi_star_zero)
##    -1.300000   -3.440000  -26.510000   -0.684000   -0.843000   -5.920000
## ii, zz[ii],   jj,   mag,  c1, c2, alpha, Phi[ii,jj] 
##
    1  0.05000    2   -31.50000 -0.68400 -0.84300 -1.30000    8.15469567e-12
    1  0.05000    3   -31.25000 -0.68400 -0.84300 -1.30000    1.43023475e-11
    1  0.05000    4   -31.00000 -0.68400 -0.84300 -1.30000    2.50845924e-11
    1  0.05000    5   -30.75000 -0.68400 -0.84300 -1.30000    4.39952623e-11
    1  0.05000    6   -30.50000 -0.68400 -0.84300 -1.30000    7.71621031e-11
    1  0.05000    7   -30.25000 -0.68400 -0.84300 -1.30000    1.35332176e-10
    1  0.05000    8   -30.00000 -0.68400 -0.84300 -1.30000    2.37353748e-10
    1  0.05000    9   -29.75000 -0.68400 -0.84300 -1.30000    4.16282397e-10
    1  0.05000   10   -29.50000 -0.68400 -0.84300 -1.30000    7.30087546e-10
    1  0.05000   11   -29.25000 -0.68400 -0.84300 -1.30000    1.28042299e-09
    1  0.05000   12   -29.00000 -0.68400 -0.84300 -1.30000    2.24552732e-09
    1  0.05000   13   -28.75000 -0.68400 -0.84300 -1.30000    3.93786781e-09
    1  0.05000   14   -28.50000 -0.68400 -0.84300 -1.30000    6.90505653e-09
    1  0.05000   15   -28.25000 -0.68400 -0.84300 -1.30000    1.21063577e-08
    1  0.05000   16   -28.00000 -0.68400 -0.84300 -1.30000    2.12208136e-08
    1  0.05000   17   -27.75000 -0.68400 -0.84300 -1.30000    3.71835682e-08
    1  0.05000   18   -27.50000 -0.68400 -0.84300 -1.30000    6.51146621e-08
    1  0.05000   19   -27.25000 -0.68400 -0.84300 -1.30000    1.13914950e-07
    1  0.05000   20   -27.00000 -0.68400 -0.84300 -1.30000    1.98970795e-07
    1  0.05000   21   -26.75000 -0.68400 -0.84300 -1.30000    3.46635517e-07
    1  0.05000   22   -26.50000 -0.68400 -0.84300 -1.30000    6.01369834e-07
    1  0.05000   23   -26.25000 -0.68400 -0.84300 -1.30000    1.03635034e-06
    1  0.05000   24   -26.00000 -0.68400 -0.84300 -1.30000    1.76722608e-06
    1  0.05000   25   -25.75000 -0.68400 -0.84300 -1.30000    2.96491316e-06
    1  0.05000   26   -25.50000 -0.68400 -0.84300 -1.30000    4.85502960e-06
    1  0.05000   27   -25.25000 -0.68400 -0.84300 -1.30000    7.68086556e-06
    1  0.05000   28   -25.00000 -0.68400 -0.84300 -1.30000    1.16095207e-05
    1  0.05000   29   -24.75000 -0.68400 -0.84300 -1.30000    1.66053287e-05
    1  0.05000   30   -24.50000 -0.68400 -0.84300 -1.30000    2.23690895e-05
    1  0.05000   31   -24.25000 -0.68400 -0.84300 -1.30000    2.84371963e-05
    1  0.05000   32   -24.00000 -0.68400 -0.84300 -1.30000    3.43874526e-05
    1  0.05000   33   -23.75000 -0.68400 -0.84300 -1.30000    3.99867604e-05
    1  0.05000   34   -23.50000 -0.68400 -0.84300 -1.30000    4.51997839e-05
    1  0.05000   35   -23.25000 -0.68400 -0.84300 -1.30000    5.01139548e-05
    1  0.05000   36   -23.00000 -0.68400 -0.84300 -1.30000    5.48617536e-05
    1  0.05000   37   -22.75000 -0.68400 -0.84300 -1.30000    5.95741622e-05
    1  0.05000   38   -22.50000 -0.68400 -0.84300 -1.30000    6.43624589e-05
    1  0.05000   39   -22.25000 -0.68400 -0.84300 -1.30000    6.93156180e-05
    1  0.05000   40   -22.00000 -0.68400 -0.84300 -1.30000    7.45040234e-05
    1  0.05000   41   -21.75000 -0.68400 -0.84300 -1.30000    7.99844784e-05
    1  0.05000   42   -21.50000 -0.68400 -0.84300 -1.30000    8.58047060e-05
    1  0.05000   43   -21.25000 -0.68400 -0.84300 -1.30000    9.20068560e-05
    1  0.05000   44   -21.00000 -0.68400 -0.84300 -1.30000    9.86300292e-05
