#   <z>    <M_{i}(z=2)>  M_{i}    N_Q      \log(\Phi) \sigma x 10^{-9}

  2.546 &   -24.474 &   -24.450 &      58 &   -6.136 &   95.974 \\
  2.528 &   -24.206 &   -24.150 &      20 &   -6.599 &   56.358 \\
  2.545 &   -23.866 &   -23.850 &       5 &   -7.201 &   28.179 \\
  2.576 &   -23.534 &   -23.550 &       2 &   -7.599 &   17.822 \\
  2.559 &   -23.290 &   -23.250 &       1 &   -7.900 &   12.602 \\
#
  2.647 &   -28.689 &   -28.650 &       2 &   -7.598 &   17.859 \\
  2.668 &   -28.354 &   -28.350 &       4 &   -7.297 &   25.256 \\
  2.645 &   -28.096 &   -28.050 &       3 &   -7.422 &   21.872 \\
  2.645 &   -27.719 &   -27.750 &       3 &   -7.422 &   21.872 \\
  2.661 &   -27.414 &   -27.450 &       9 &   -6.944 &   37.884 \\
  2.643 &   -27.136 &   -27.150 &      15 &   -6.723 &   48.908 \\
  2.652 &   -26.827 &   -26.850 &      35 &   -6.355 &   74.708 \\
  2.649 &   -26.533 &   -26.550 &      30 &   -6.422 &   69.166 \\
  2.646 &   -26.246 &   -26.250 &      37 &   -6.330 &   76.813 \\
  2.647 &   -25.943 &   -25.950 &      47 &   -6.227 &   86.573 \\
  2.649 &   -25.648 &   -25.650 &      80 &   -5.996 &  112.948 \\
  2.651 &   -25.356 &   -25.350 &      67 &   -6.073 &  103.364 \\
  2.653 &   -25.046 &   -25.050 &      65 &   -6.086 &  101.810 \\
  2.646 &   -24.764 &   -24.750 &      68 &   -6.066 &  104.133 \\
  2.647 &   -24.478 &   -24.450 &      52 &   -6.183 &   91.062 \\
  2.633 &   -24.234 &   -24.150 &      12 &   -6.819 &   43.745 \\
  2.636 &   -23.881 &   -23.850 &       4 &   -7.297 &   25.256 \\
  2.615 &   -22.610 &   -22.650 &       1 &   -7.899 &   12.628 \\
  2.618 &   -22.255 &   -22.350 &       1 &   -7.899 &   12.628 \\
#
  2.798 &   -28.941 &   -28.950 &       1 &   -7.897 &   12.669 \\
  2.765 &   -28.785 &   -28.650 &       1 &   -7.897 &   12.669 \\
  2.750 &   -28.302 &   -28.350 &       1 &   -7.897 &   12.669 \\
  2.777 &   -27.938 &   -28.050 &       3 &   -7.420 &   21.943 \\
  2.754 &   -27.708 &   -27.750 &       4 &   -7.295 &   25.338 \\
  2.750 &   -27.489 &   -27.450 &      12 &   -6.818 &   43.887 \\
  2.750 &   -27.129 &   -27.150 &      16 &   -6.693 &   50.676 \\
  2.742 &   -26.842 &   -26.850 &      26 &   -6.482 &   64.599 \\
  2.758 &   -26.518 &   -26.550 &      27 &   -6.466 &   65.830 \\
  2.742 &   -26.248 &   -26.250 &      29 &   -6.435 &   68.224 \\
  2.750 &   -25.943 &   -25.950 &      42 &   -6.274 &   82.104 \\
  2.742 &   -25.651 &   -25.650 &      61 &   -6.112 &   98.948 \\
  2.753 &   -25.372 &   -25.350 &      54 &   -6.165 &   93.097 \\
  2.754 &   -25.065 &   -25.050 &      52 &   -6.181 &   91.357 \\
  2.747 &   -24.759 &   -24.750 &      58 &   -6.134 &   96.484 \\
  2.742 &   -24.465 &   -24.450 &      27 &   -6.466 &   65.830 \\
