  2.042 &   -26.482 &   -26.550 &      10 &   -6.290 &  162.247 \\
  2.052 &   -26.221 &   -26.250 &       8 &   -6.387 &  145.119 \\
  2.019 &   -25.986 &   -25.950 &      16 &   -6.086 &  205.229 \\
  2.045 &   -25.640 &   -25.650 &      23 &   -5.928 &  246.060 \\
  1.938 &   -25.351 &   -25.350 &      20 &   -5.989 &  229.453 \\
  1.996 &   -25.040 &   -25.050 &      21 &   -5.968 &  235.119 \\
  2.007 &   -24.716 &   -24.750 &      31 &   -5.798 &  285.666 \\
  2.007 &   -24.427 &   -24.450 &      23 &   -5.928 &  246.060 \\
  2.005 &   -24.133 &   -24.150 &      40 &   -5.688 &  324.495 \\
  2.008 &   -23.871 &   -23.850 &      28 &   -5.843 &  271.492 \\
  1.974 &   -23.561 &   -23.550 &      29 &   -5.827 &  276.298 \\
  1.976 &   -23.317 &   -23.250 &      15 &   -6.114 &  198.712 \\
  2.017 &   -22.997 &   -22.950 &       8 &   -6.387 &  145.119 \\
  1.966 &   -22.684 &   -22.650 &       4 &   -6.688 &  102.614 \\
  2.048 &   -22.423 &   -22.350 &       2 &   -6.989 &   72.559 \\
  2.495 &   -28.955 &   -28.950 &       1 &   -7.320 &   47.826 \\
  2.419 &   -27.146 &   -27.150 &       3 &   -6.843 &   82.836 \\
  2.400 &   -26.822 &   -26.850 &       6 &   -6.542 &  117.148 \\
  2.423 &   -26.502 &   -26.550 &       6 &   -6.542 &  117.148 \\
  2.341 &   -26.271 &   -26.250 &      10 &   -6.320 &  151.238 \\
  2.339 &   -25.913 &   -25.950 &      10 &   -6.320 &  151.238 \\
  2.388 &   -25.646 &   -25.650 &      21 &   -5.998 &  219.165 \\
  2.350 &   -25.359 &   -25.350 &      19 &   -6.042 &  208.467 \\
  2.411 &   -25.049 &   -25.050 &      13 &   -6.206 &  172.438 \\
  2.336 &   -24.752 &   -24.750 &      19 &   -6.042 &  208.467 \\
  2.347 &   -24.473 &   -24.450 &      13 &   -6.206 &  172.438 \\
  2.379 &   -24.131 &   -24.150 &      27 &   -5.889 &  248.509 \\
  2.349 &   -23.864 &   -23.850 &      16 &   -6.116 &  191.302 \\
  2.394 &   -23.521 &   -23.550 &       8 &   -6.417 &  135.271 \\
  2.419 &   -23.258 &   -23.250 &       8 &   -6.417 &  135.271 \\
  2.388 &   -23.017 &   -22.950 &       2 &   -7.019 &   67.636 \\
  2.347 &   -22.758 &   -22.650 &       1 &   -7.320 &   47.826 \\
  2.390 &   -22.370 &   -22.350 &       5 &   -6.621 &  106.941 \\
  2.825 &   -28.383 &   -28.350 &       1 &   -7.317 &   48.180 \\
  2.972 &   -27.978 &   -28.050 &       2 &   -7.016 &   68.137 \\
  2.710 &   -27.714 &   -27.750 &       3 &   -6.840 &   83.450 \\
  2.875 &   -27.130 &   -27.150 &       2 &   -7.016 &   68.137 \\
  2.753 &   -26.792 &   -26.850 &       1 &   -7.317 &   48.180 \\
  2.796 &   -26.583 &   -26.550 &       6 &   -6.539 &  118.016 \\
  2.720 &   -26.256 &   -26.250 &       7 &   -6.472 &  127.472 \\
  2.752 &   -25.990 &   -25.950 &      10 &   -6.317 &  152.358 \\
  2.706 &   -25.715 &   -25.650 &       6 &   -6.539 &  118.016 \\
  2.737 &   -25.351 &   -25.350 &       8 &   -6.414 &  136.274 \\
  2.801 &   -25.052 &   -25.050 &      12 &   -6.238 &  166.900 \\
  2.762 &   -24.739 &   -24.750 &      15 &   -6.141 &  186.600 \\
  2.749 &   -24.436 &   -24.450 &       9 &   -6.363 &  144.540 \\
  2.713 &   -24.152 &   -24.150 &       8 &   -6.414 &  136.274 \\
  2.750 &   -23.878 &   -23.850 &       3 &   -6.840 &   83.450 \\
  2.840 &   -23.548 &   -23.550 &       3 &   -6.840 &   83.450 \\
  2.833 &   -23.122 &   -23.250 &       1 &   -7.317 &   48.180 \\
  2.609 &   -23.095 &   -22.950 &       1 &   -7.317 &   48.180 \\
  2.615 &   -22.488 &   -22.350 &       1 &   -7.317 &   48.180 \\
  3.187 &   -27.403 &   -27.450 &       4 &   -6.800 &   79.214 \\
  3.196 &   -27.128 &   -27.150 &       4 &   -6.800 &   79.214 \\
  3.185 &   -26.776 &   -26.850 &       4 &   -6.800 &   79.214 \\
  3.202 &   -26.590 &   -26.550 &       3 &   -6.925 &   68.601 \\
  3.157 &   -26.143 &   -26.250 &       1 &   -7.402 &   39.607 \\
  3.187 &   -25.935 &   -25.950 &       7 &   -6.557 &  104.790 \\
  3.216 &   -25.700 &   -25.650 &      10 &   -6.402 &  125.248 \\
  3.213 &   -25.368 &   -25.350 &       8 &   -6.499 &  112.025 \\
  3.152 &   -25.048 &   -25.050 &      11 &   -6.361 &  131.361 \\
  3.317 &   -24.795 &   -24.750 &       3 &   -6.925 &   68.601 \\
  3.072 &   -24.406 &   -24.450 &       3 &   -6.925 &   68.601 \\
  3.095 &   -24.191 &   -24.150 &       3 &   -6.925 &   68.601 \\
  3.255 &   -23.841 &   -23.850 &       2 &   -7.101 &   56.013 \\
  3.176 &   -23.537 &   -23.550 &       2 &   -7.101 &   56.013 \\
  3.040 &   -22.825 &   -22.950 &       1 &   -7.402 &   39.607 \\
  3.195 &   -22.295 &   -22.350 &       2 &   -7.101 &   56.013 \\
  3.834 &   -27.443 &   -27.450 &       2 &   -7.083 &   58.469 \\
  3.615 &   -25.990 &   -25.950 &       2 &   -7.083 &   58.469 \\
  3.719 &   -25.780 &   -25.650 &       1 &   -7.384 &   41.344 \\
  3.759 &   -24.970 &   -25.050 &       2 &   -7.083 &   58.469 \\
  3.844 &   -23.415 &   -23.550 &       1 &   -7.384 &   41.344 \\
  4.029 &   -24.633 &   -24.750 &       1 &   -7.362 &   43.477 \\
  4.068 &   -23.298 &   -23.250 &       1 &   -7.362 &   43.477 \\
